electrode,timestamp
tl1,20260213_135712
tl2,20260213_140049
tl3,20260213_140426
tl4,20260213_140803
tl5,20260213_141140
tr1,20260213_141517
tr2,20260213_141855
tr3,20260213_142240
tr4,20260213_142617
tr5,20260213_142955
bl1,20260213_143334
bl2,20260213_143714
bl3,20260213_144051
bl4,20260213_144429
bl5,20260213_144808
br1,20260213_145145
br2,20260213_145523
br3,20260213_145900
br4,20260213_150236
br5,20260213_150614
