timestamp,mode,RF_amplitude,U2,scan_type,setpoint_idx,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4,amp5,mu5,sigma5,amp6,mu6,sigma6,amp7,mu7,sigma7,amp8,mu8,sigma8
20260307_043726,lost,1.2,-0.34,DC,19,0,20.0,140.0,8,0.9493854969618556,-2672.417275628525,0.0267707183095184,0.0764680379068068,59.23898785783182,1.554862333658388,0.0743702587979073,110.18390999200244,0.5243482908256832,0.0236295742888888,50.63188721357894,4.970429778743037,0.0173812371669309,63.62196147163365,105.21460344101044,0.012875874144506,129.2620763460893,2.357716612121059,0.0122361585723408,111.5501832582731,7.202430766834689,0.0169828033943799,120.5835869169362,1.1912205260140376,0.0193007267670426,70.75867470112465,0.5000000000000001
20260307_043726,trapped,1.2,-0.34,DC,19,0,20.0,140.0,8,0.9369078300994668,-2622.4880092211456,0.167634191728386,-0.0478169692663456,70.94973974896313,0.5000000000000001,-0.0746750962809587,110.1475368988831,0.5066817292842359,-0.0654416768920186,58.870749140611295,1.1194601200087662,-0.0145699375435846,54.28503820300093,7.240947956228684,-0.0413429743562238,60.48327208239783,0.5000000000000001,-0.0218629278522068,49.78138628884949,0.8269874388425297,-0.0422656869990223,128.4916888741342,25.105330365428653,-0.0633664737486263,47.62522701140705,63.32198185885338
20260307_054553,lost,1.2,-0.21,DC,2,0,20.0,140.0,7,0.9151086998797928,-2804.691134270692,0.041627909832722,0.0225772204769478,103.01883660031936,2.8316892027243514,0.0230494321751146,72.90805827382749,1.8880814627103628,0.0194095513443479,37.26471041280444,0.5000000000000001,0.034800693703325,110.50755669328171,0.9228822857744616,0.0168943841795993,65.80736326985594,6.4622202759517045,0.0047589040819109,120.41644927191534,20.31599091147059,0.0188675580784107,36.20314078417471,1.9119179063423,,,
20260307_054553,trapped,1.2,-0.21,DC,2,0,20.0,140.0,6,0.9454000558375024,-2491.438240424088,0.1130006152420707,-0.0576264400907433,65.33979040913002,0.7272174025947734,-0.0572024812256699,103.24582064588697,2.805039698205261,-0.0592128885489774,36.24955907405361,1.9105398425815407,-0.0628373638283975,110.350314598302,1.0558443247154503,-0.0535077440229465,72.20671913419186,2.170375306700366,-0.032457040027908,66.330773041502,6.334016277230723,,,,,,
20260307_162644,lost,1.2,-0.34,DC,19,1,20.0,140.0,6,0.9471414218430904,-2726.979675482623,0.0391227895670024,0.0596087230092536,109.366861556561,0.5718019652257527,0.055308583052205,58.376127645392856,1.5724169428752908,0.0162606385010935,70.48124050375448,0.5000000000000001,0.0152234939165268,113.78435224610634,11.473905620646898,0.0221128765181817,51.386035130157,7.52783445162192,0.0233433303860365,49.71872672021238,0.5616833656843236,,,,,,
20260307_162644,trapped,1.2,-0.34,DC,19,1,20.0,140.0,8,0.9377864407704926,-2694.939389678894,0.1060209692010167,-0.0558361355939178,109.37335539966574,0.5986770011474799,-0.0213509044903515,49.70874116743191,0.7955801141832273,-0.0371966948605588,70.73464531480289,0.6665030457429955,-0.010834389513395,128.21254517893018,1.186337337229742,-0.0067442749830014,83.44702533643292,4.670144356011237,-0.0221808302638966,53.219811607202686,9.398210480387052,-0.050463944163874,58.53872271674479,1.4394504914888822,-0.0162943463132085,113.56806249328532,13.813326832411024
20260307_172900,lost,1.2,-0.4,DC,22,0,20.0,140.0,6,0.9391828237410648,-2577.702883955845,0.0479890188234407,0.0476710133347313,49.056533618854,4.356192144945079,0.0623778351941166,107.34651258707314,0.5000000004444798,0.0499291299054062,53.87483325479328,1.795707715959396,0.0180989472278784,121.81179037532254,2.843801576245374,0.0242395112496481,71.41223296047694,0.7340442528031113,0.0366439930228026,109.99981661764376,0.7212671669598429,,,,,,
20260307_172900,trapped,1.2,-0.4,DC,22,0,20.0,140.0,7,0.9280818216482816,-2534.592500088127,0.0969662886073288,-0.0380715991354567,54.94574747992302,1.109311469209701,-0.0118096247646646,107.18244145757735,44.88415873123079,-0.0425521338780318,71.53161141301803,0.7984835713927343,-0.0188171707369347,121.94307878629584,2.82488557176244,-0.031612996537741,47.823410054722,5.853907511505511,-0.0303496624488409,108.38735744139878,2.2421863126594435,-0.0416791801566932,52.0218666116802,2.400426645562738,,,
20260307_182852,lost,1.2,-0.225,DC,5,0,20.0,140.0,7,0.9093651537040828,-2729.266354481947,0.0386984938610601,0.0217955044724726,105.26234702577848,0.5000000000000014,0.0283870781246612,65.98984748340983,8.740012639229523,0.0098984930166486,95.7132607879171,4.9289991122626615,0.0223230769411153,37.70380298305342,1.9575833916220409,0.0316446802378651,110.90502978238628,1.019670003970364,0.0130547435285214,126.63762213491972,14.253529054135026,0.0286637910751537,104.70824856332165,2.7564047781067065,,,
20260307_182852,trapped,1.2,-0.225,DC,5,0,20.0,140.0,7,0.9379900334538764,-2560.59124107225,0.1124914304113996,-0.0482238210763737,105.35091445358503,0.5000000000000001,-0.0187454547773149,60.25660673916702,2.6292269798326764,-0.0418339627626928,37.29997154838751,2.16332197335534,-0.0388504045636351,105.01006994224956,3.4073297125775617,-0.0555533489291206,71.3008898033126,2.4689631774230807,-0.0481466675893172,110.79570682239208,0.7687893779021774,-0.0526289265898425,65.31424067561701,1.1704326849535336,,,
