timestamp,mode,U2,RF_amplitude,line_id,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4
20260204_143842,lost,-0.2,2.5,0,0,28.0,48.0,2,0.9173982212317224,-963.4063418163006,0.015559052236653236,0.018952835182575924,37.01423948938288,2.7927581911275743,0.01587471192206782,40.190101803624664,0.5288382834315308,,,,,,
20260204_143842,trapped,-0.2,2.5,0,0,28.0,48.0,4,0.9171199713472886,-902.1698758487252,0.18496999911951406,-0.029080443479288086,36.97895726435888,1.4436043424875307,-0.03049777952869201,40.185249570488544,0.6172331598872985,-0.017462575768024808,33.906061391507464,0.501690114208672,-0.009553975637036484,31.64879021917421,0.9434658113089077
20260204_145329,lost,-0.2,2.5,1,0,51.0,71.0,2,0.9439430075777079,-953.8020769854127,0.021489668476222232,0.03003343842312599,60.39249077108094,2.0091489305970858,0.014936163398998283,55.850808026977056,1.3345702378787472,,,,,,
20260204_145329,trapped,-0.2,2.5,1,0,51.0,71.0,3,0.9256960682385571,-910.2856168749315,0.20482139347552514,-0.022788719744566838,60.854051832793566,1.0311992870797344,-0.01387032685482339,69.9449922580061,1.5556349522046407,-0.04079634387996355,60.18483030907785,7.088476595583531,,,
20260204_150723,lost,-0.2,2.5,2,0,72.0,132.0,4,0.9562555988828311,-2873.0125593675352,0.015958303255858244,0.04693980345650713,102.38642098703811,0.38251580519819384,0.028002826898461664,80.65262118432538,1.6893280069100771,0.03302380683291036,100.99109919395904,1.8077585230565996,0.013801950109462393,120.57433609405645,1.6025417295249802
20260204_150723,trapped,-0.2,2.5,2,0,72.0,132.0,4,0.9092939812136815,-2593.1267197447787,0.18604252693992926,-0.06271280578109992,102.48437968275657,0.2859983090546398,-0.032906210119506,80.79093127505377,1.7478241345097447,-0.01730038481451562,120.55131424124654,1.5149671851799522,-0.04236677666309501,101.37513342728867,1.6871858691772699
20260204_154907,lost,-0.2,2.5,3,0,134.0,154.0,1,0.9677315575842189,-1023.4390930796302,0.013527349902106729,0.02705037644716759,143.5604258934064,2.2912097897968953,,,,,,,,,
20260204_154907,trapped,-0.2,2.5,3,0,134.0,154.0,2,0.9095816584973739,-904.2200085708519,0.1897734894038712,-0.03187313032753265,143.05287662067755,1.3375960594259189,-0.01617574551038321,146.27565797550568,1.4362878916484811,,,,,,
20260204_160231,lost,-0.2,2.5,0,1,28.0,48.0,2,0.9244506370456033,-965.8744309982526,0.015687959971796683,0.01984150436111321,37.038738217635675,2.6649008942371424,0.018185846808441177,40.375295182686905,0.46856611495947414,,,,,,
20260204_160231,trapped,-0.2,2.5,0,1,28.0,48.0,3,0.9097549921448038,-893.9326249323911,0.18712705676661928,-0.013890247524461745,35.203548553645426,2.3210428620939667,-0.025935800473552498,40.1846395000257,0.8044507412596494,-0.024234331689337113,37.331540449912936,1.0680234601294498,,,
20260204_174026,lost,-0.2,2.5,1,1,51.0,71.0,2,0.9373985828424355,-959.8958157246659,0.02245003181605566,0.02780259083315917,60.25663537306509,1.9122144878271106,0.014197648421327527,55.626043673974124,1.340375749087334,,,,,,
20260204_174026,trapped,-0.2,2.5,1,1,51.0,71.0,4,0.8973959340954951,-900.3061675028684,0.18846529004862933,-0.03219159479640082,61.04923164586202,1.5433744461271488,-0.019675340110180517,64.69110246102419,0.8227670924185182,-0.016723684726272257,68.57656695451799,2.268715932607481,-0.019898996754739526,56.92148303185162,3.1856103143966497
20260204_175457,lost,-0.2,2.5,2,1,72.0,132.0,4,0.9454984919158533,-2820.9153942951075,0.01635778860203741,0.033174365913944986,101.016531665062,1.7685424489442014,0.02607466596509676,80.50135270444979,1.6151831207123597,0.04664490986428762,102.48001454906935,0.4111335168149484,0.01454722330849455,120.61869726116653,1.5191346708799796
20260204_175457,trapped,-0.2,2.5,2,1,72.0,132.0,4,0.9194371350991942,-2619.603679809397,0.18532230482833784,-0.04459850215616386,101.29716126541007,1.616675236444852,-0.0326398890828991,80.92156415567631,1.6818049543551972,-0.06598680184902406,102.57529862339625,0.27874893842947995,-0.01417887685882305,120.46717186462718,1.4257762283867301
