timestamp,mode,RF_amplitude,U2,scan_type,setpoint_idx,rep,min_scan,max_scan,n_peaks,r2,aicc,c0,amp1,mu1,sigma1,amp2,mu2,sigma2,amp3,mu3,sigma3,amp4,mu4,sigma4,amp5,mu5,sigma5,amp6,mu6,sigma6,amp7,mu7,sigma7,amp8,mu8,sigma8
20260228_120620,lost,0.4,-0.35,RF,3,4,20.0,140.0,7,0.936389652006554,-2682.058483059206,0.0247749566372735,0.0250530280245653,43.17682587837179,1.6129772124360733,0.0473351595999414,98.43538066472054,0.6280900636930454,0.0382489743764047,51.14180591650194,0.5531778243205868,0.0343333428088845,70.5743264919048,0.6316787028796802,0.029097131206251,45.48352255564178,0.9175305272736048,0.0184277836174573,102.10249424127824,0.5000000000000001,0.0262090477091371,43.35239473988829,5.163270926846932,,,
20260228_120620,trapped,0.4,-0.35,RF,3,4,20.0,140.0,7,0.9440597804948198,-2720.522484091271,0.057598279922445,-0.00443775442262,85.69960269491857,3.6631627353632767,-0.0444409557197613,51.19079770807256,0.597963373067827,-0.0414907635630184,98.39238764685764,0.7281739716950136,-0.0521490866309755,70.667217307297,0.6208305582409038,-0.0300530720590748,44.42713964499627,1.5446197147699887,-0.0288216154961335,43.17572052420911,5.569840869799856,-0.0231416609919211,101.99430371421464,0.5000000000000046,,,
20260228_130122,lost,0.2,-0.35,RF,2,3,20.0,140.0,8,0.9631804554145528,-2808.5295705014487,0.0214208735425599,0.039999931113606,43.60590688897559,1.753694233447045,0.0427128543395821,51.093950377256895,0.6435819727462386,0.0068883912591652,83.24593027302438,3.715859531886608,0.0074157881161806,136.53048964855145,1.0054822990426204,0.0270397020891937,41.87150091966188,5.279503473246599,0.042149748268451,97.02704338149584,0.7078311323222666,0.0074768652862515,102.43499407330452,1.327831911235512,0.0380373007098918,68.54081637639734,0.567797336451986
20260228_130122,trapped,0.2,-0.35,RF,2,3,20.0,140.0,7,0.9417333779827504,-2740.745467136825,0.0740039153643833,-0.0282234432093629,41.91820351060395,4.315508939688404,-0.0451933010610155,50.8733461870364,0.5000001616115372,-0.0478191510166715,68.64532951620993,0.600822691644598,-0.0408124628608742,97.09470239170987,0.6217218617742573,-0.0318455960954116,43.75396293215916,1.5868497291117554,-0.0195192617763894,136.87265727204343,170.16469559748057,-0.0168663899695957,52.130395714819386,0.941569143506628,,,
20260228_135624,lost,1.8,-0.35,RF,10,0,20.0,140.0,8,0.972273749002306,-2990.621065837739,0.0148440332225068,0.0194364744041337,109.13459149564196,2.524944647288641,0.0194040104004278,75.24985977043514,0.9015474209640076,0.0365742128023645,55.22449331397062,1.3922009802104418,0.0076236755521867,127.1261551322414,4.579673330948113,0.0054585749032651,100.69396131894668,10.633933765230529,0.0429989973160148,109.07574248030858,0.569347274161216,0.0213630857644465,50.923677236894,1.0081338394212034,0.0150651601485004,49.409524743551074,7.854770211915909
20260228_135624,trapped,1.8,-0.35,RF,10,0,20.0,140.0,6,0.903452165734984,-2692.2346271803262,0.0959089594659945,-0.0119682454932901,110.89686161615784,23.01311313041415,-0.0398806758367486,55.16861778498901,1.2315830746328562,-0.0245844251386146,50.80253703484959,0.8702401269861606,-0.023776098551137,75.46901489161148,0.8346257590960976,-0.015537150089998,50.56529933445233,10.072635391469394,-0.0532233166881573,109.09035956128416,0.8740254927124698,,,,,,
20260228_145604,lost,2.0,-0.35,RF,11,2,20.0,140.0,7,0.9653361261543806,-2972.2416511090514,0.0125066757092198,0.0171003509430066,75.74172390265484,0.8567572883871741,0.027753545704555,56.4908445948192,2.171375668894063,0.0126568069582648,49.39382274944234,9.889692163471976,0.0216753009999392,110.77384799368862,1.6070054472806887,0.007369249484935,112.84024629108704,22.06473462512357,0.0442945761363958,110.64011167200232,0.5000000023023954,0.0230246809855433,50.854580627856144,0.9445845545439936,,,
20260228_145604,trapped,2.0,-0.35,RF,11,2,20.0,140.0,6,0.887092680988403,-2693.637794341312,0.1021278232241698,-0.0542432922556292,110.63659155599316,0.6845889877261337,-0.0310350869760537,50.892025792266594,0.857243020203167,-0.0200770220651037,76.02486190990788,0.8697910707972536,-0.0131942314141526,50.95300968533856,13.698974665694976,-0.0292085107050414,56.28373983735161,2.0064668399450216,-0.014022930445375,112.80194863965284,26.179560036155497,,,,,,
20260228_194454,lost,3.0,-0.35,RF,14,3,20.0,140.0,6,0.9353758282067468,-2895.584819206918,0.0146663860083814,0.0243257044034387,114.75558978596968,1.4649149426720838,0.0027076286154716,113.96373084960064,37.17410932287258,0.0148141520845322,51.19225709434863,2.127952129259522,0.0276399468789898,60.76266942312903,3.3039182754962915,0.0052478321093296,42.955380516908725,4.360136550621771,0.0400929253509377,114.98678306120188,0.5000000000000001,,,,,,
20260228_194454,trapped,3.0,-0.35,RF,14,3,20.0,140.0,5,0.8488877678740405,-2735.30700593022,0.0967086678743499,-0.0387852209578698,114.9904057166804,0.5000000000000001,-0.0144666173303725,80.18224881585517,0.797101314696464,-0.0235311239012578,60.64983169489782,3.282378744439841,-0.0148607709740513,50.84896586160481,1.842553484026628,-0.0189256555972954,114.60739282858856,1.4896351098325789,,,,,,,,,
20260228_204102,lost,6.0,-0.35,RF,18,3,20.0,140.0,8,0.9359750102140926,-2885.370861385018,0.0133961659325171,0.0370277621273311,126.69299011864707,1.1202951177389535,0.0194269589038772,72.04507988470314,0.5000000000000001,0.0041022304347668,44.13431247952019,2.2354724318969263,0.0110624005685961,52.43188718753908,1.7367103810138294,0.0054275181247301,130.58790584334847,10.659923262312416,0.0244186348651821,71.13774987978614,4.07369261014189,0.0158098512446884,89.16017252003509,0.6760107942064053,0.006023290796731,78.2245267989829,28.63764983247035
20260228_204102,trapped,6.0,-0.35,RF,18,3,20.0,140.0,8,0.879042597130977,-2689.3184185927403,0.1363238301128363,-0.0144877761368094,89.30301897506948,1.477172113550363,-0.0244496882921544,71.73018182849079,4.02789426975608,-0.0213390321759148,137.40113975333884,32.488581928660906,-0.0183742148475637,125.66156249621568,1.837226352255845,-0.0101810426062526,108.09960116827432,0.5000000000000001,-0.0110651019813143,51.77727400253673,1.4208338581047977,-0.0186513494112698,61.28284913094596,30.36976480590185,-0.0291842376869702,127.02169182218996,0.5284920177326722
20260228_214115,lost,5.0,-0.35,RF,17,2,20.0,140.0,8,0.9640698137215756,-2885.2993524352314,0.0106962481038233,0.036604610950285,70.32964894548462,0.6158972410162048,0.0386390262016571,123.7247175077912,0.5000000000000001,0.0340960472159127,68.2262740786936,2.9208994357462874,0.0184628715822294,51.96553176802397,1.438884468422869,0.0121720150003471,86.91348559574055,1.08795378664521,0.0104417132985208,67.87903583499755,32.503412436034644,0.0092902588016551,131.10319585969637,15.199705238748338,0.024643575692435,122.83598484124532,1.550361389177317
20260228_214115,trapped,5.0,-0.35,RF,17,2,20.0,140.0,8,0.903903239775216,-2690.606629707479,0.1344224135380169,-0.0245301176202248,70.42733157295285,0.5000000000000001,-0.0436646505286663,123.58840548127093,0.9799131209544416,-0.0189902836149584,69.77604079514313,1.1409289271452556,-0.0281437380095044,142.7779130303791,113.20621134847572,-0.0188575737988716,52.20086213744666,1.3853625359750557,-0.004926510348316,44.535268501147314,5.2198844719563695,-0.0166080004426723,86.77810763653612,0.5366910994284491,-0.0216898837066817,68.16791383054446,4.38318902651676
20260228_224123,lost,3.6,-0.35,RF,15,3,20.0,140.0,7,0.9570496867271554,-2823.7658578222304,0.0130036352837975,0.0608202584878094,118.42530223522913,0.5000000000000001,0.0428174887557476,65.16053011004932,2.3487300322360585,0.0309526080273993,50.78178222710297,0.5960201117006404,0.0066889963166332,121.04051901860927,22.82913568822145,0.0123757672822833,55.75489043361793,10.663156976123862,0.0139413323093561,81.62710058437878,1.3494710681174695,0.0248420573200509,117.4374177912431,1.1940011792557836,,,
20260228_224123,trapped,3.6,-0.35,RF,15,3,20.0,140.0,7,0.909018567396925,-2684.358844201263,0.1122367231916364,-0.0611645228126931,118.25438433606324,0.6570223662172838,-0.0179999447434422,62.72900785084567,1.7242606261716442,-0.0375218038486696,66.16515171593751,1.358896547779275,-0.0264429710149045,50.70581580717191,0.768483192311962,-0.0129440033630576,120.4087922926928,26.76863562729516,-0.0165944627895342,81.71425976805482,1.2006850383222285,-0.0146212840675296,56.70092850870954,13.310504677499445,,,
20260228_234147,lost,2.5,-0.35,RF,13,2,20.0,140.0,7,0.9543823889687164,-2909.950450396548,0.0109884963374069,0.0070797852483316,111.82900860742988,24.53090342935452,0.0272902910118282,59.93397192391065,2.6047194431662244,0.0100716409485032,51.88939383805622,13.313887076653366,0.0196553539099796,51.406565543169634,1.2308779847317828,0.0082374796047273,129.29950970185212,0.7994702644140746,0.0519606193518359,113.7423503478529,0.5000000000000001,0.0204469484608448,113.41643490744951,1.607682590879285,,,
20260228_234147,trapped,2.5,-0.35,RF,13,2,20.0,140.0,6,0.9011488077068212,-2753.136806787078,0.1079849346041093,-0.0568201994467601,113.65251651125448,0.7283956735551519,-0.0203220905823489,51.41787000390343,1.193276814838507,-0.011103892317251,52.48357146939981,13.151858564230412,-0.0112554127913928,117.94925361159292,27.705335280755868,-0.0128121746336305,77.43987341153795,1.0264699669585495,-0.0262593183408794,59.80279294108025,2.48215989221708,,,,,,
20260301_003936,lost,0.8,-0.35,RF,5,4,20.0,140.0,8,0.9760551180309592,-2824.221738845209,0.018769977024379,0.0599472575729466,51.79546039188644,1.5436510767194465,0.0527788375866617,105.0795681566098,1.010375813066395,0.029757609725026,48.19319512777573,2.9269857410634645,0.0260961321330804,120.19345010283686,2.320209753691773,0.0256975418775621,101.45024222667536,1.1705033287372464,0.0177742154943288,43.15613965909067,6.04770381682569,0.0049753160240144,91.40968137009376,9.347633556999916,0.0227724389047372,70.52695181287807,0.6758254863822479
20260301_003936,trapped,0.8,-0.35,RF,5,4,20.0,140.0,8,0.958045302241975,-2693.0235703133003,0.0775168806516244,-0.0436646190059895,52.85444697457697,0.6169039813098477,-0.0408785919331011,105.18702103899754,0.5936503382852255,-0.032680919544379,47.11220057501447,5.008783021179883,-0.0259115484322463,103.36932472928648,2.9153967201973243,-0.0456389651144416,50.96682819796779,1.4319922460659853,-0.026401452351856,120.32829343263788,2.423942136675868,-0.0307886419962961,70.63611977533138,0.7156053917074037,-0.0050677408829853,89.28930175440125,5.288627758875937
20260301_024050,lost,4.3,-0.35,RF,16,3,20.0,140.0,5,0.9599053344806268,-2802.3286496049896,0.0196605482925109,0.0558241651511629,68.48934623185743,0.5708123053819758,0.050708204450225,121.83818697669228,0.5000000000000001,0.023199334884762,51.53473188318577,1.630334429432623,0.0388144925410919,66.77656203984864,3.4114119945848467,0.0294417418301339,120.76105815925524,1.2412336058619196,,,,,,,,,
20260301_024050,trapped,4.3,-0.35,RF,16,3,20.0,140.0,8,0.938258532720859,-2744.529035733545,0.4812979982843315,-0.0100316097702715,83.81464486585747,1.1556425498795737,-0.0240606607324394,138.89225468319617,21.23750770259674,-0.0460116872598796,68.50423800108699,0.7476600744016056,-0.0291593194186354,66.77828970104436,3.107786608215107,-0.0464645782889927,121.84100536989918,0.5000000000000001,-0.0227460478142766,51.64720414019515,1.1064562676724248,-0.3779343846057094,56.16223867940869,215.03364926255148,-0.0200700118230283,120.6767561557226,1.2928742210206725
20260301_034144,lost,0.4,-0.35,RF,3,2,20.0,140.0,8,0.9643783483903788,-2693.7132224615584,0.0206966489197973,0.0559743968898021,48.08316046599376,2.844649017286421,0.0290661213305274,68.54717033102102,0.5243833083478111,0.0324958747189878,51.41881522092231,0.9045222615252658,0.0163960668185238,117.5722352630996,2.015800885880176,0.0404884487999066,100.09832445236805,0.6178478144702294,0.0264794644332037,42.81790739747807,5.04092396655016,0.0056945263358714,92.56397536522162,9.45311051426952,0.0427781798916825,102.636323715666,0.5000000000000001
