electrode,timestamp
tl1,20260213_150957
tl2,20260213_151333
tl3,20260213_151709
tl4,20260213_152046
tl5,20260213_152423
tr1,20260213_152800
tr2,20260213_153136
tr3,20260213_153513
tr4,20260213_153849
tr5,20260213_154225
bl1,20260213_154602
bl2,20260213_154938
bl3,20260213_155315
bl4,20260213_155652
bl5,20260213_160029
br1,20260213_160405
br2,20260213_160741
br3,20260213_161118
br4,20260213_161454
br5,20260213_161839
