wait_time,act_RF_amplitude,ratio_signal,ratio_lost,loading_signal,trapped_signal,lost_signal,time_cost
600,,,,,,,
2000,,,,,,,
5000,,,,,,,
200,,,,,,,
5000,,,,,,,
600,,,,,,,
2000,,,,,,,
3300,,,,,,,
2600,,,,,,,
3300,,,,,,,
200,,,,,,,
5000,,,,,,,
4100,,,,,,,
3300,,,,,,,
2000,,,,,,,
3300,,,,,,,
4100,,,,,,,
1000,,,,,,,
600,,,,,,,
1500,,,,,,,
600,,,,,,,
4100,,,,,,,
200,,,,,,,
1000,,,,,,,
4100,,,,,,,
1500,,,,,,,
1000,,,,,,,
1000,,,,,,,
4100,,,,,,,
1500,,,,,,,
1000,,,,,,,
2600,,,,,,,
2000,,,,,,,
2000,,,,,,,
1500,,,,,,,
3300,,,,,,,
4100,,,,,,,
1500,,,,,,,
200,,,,,,,
2000,,,,,,,
4100,,,,,,,
4100,,,,,,,
200,,,,,,,
2000,,,,,,,
4100,,,,,,,
1500,,,,,,,
2600,,,,,,,
2600,,,,,,,
1500,,,,,,,
4100,,,,,,,
2000,,,,,,,
1000,,,,,,,
4100,,,,,,,
1000,,,,,,,
1000,,,,,,,
5000,,,,,,,
1000,,,,,,,
3300,,,,,,,
3300,,,,,,,
600,,,,,,,
1000,,,,,,,
3300,,,,,,,
5000,,,,,,,
1500,,,,,,,
3300,,,,,,,
2600,,,,,,,
2600,,,,,,,
3300,,,,,,,
2600,,,,,,,
4100,,,,,,,
2600,,,,,,,
2600,,,,,,,
2600,,,,,,,
5000,,,,,,,
2600,,,,,,,
200,,,,,,,
600,,,,,,,
2000,,,,,,,
1500,,,,,,,
1000,,,,,,,
5000,,,,,,,
200,,,,,,,
3300,,,,,,,
600,,,,,,,
2000,,,,,,,
1500,,,,,,,
200,,,,,,,
1000,,,,,,,
4100,,,,,,,
1000,,,,,,,
1500,,,,,,,
200,,,,,,,
1500,,,,,,,
5000,,,,,,,
200,,,,,,,
3300,,,,,,,
5000,,,,,,,
600,,,,,,,
4100,,,,,,,
1000,,,,,,,
5000,,,,,,,
4100,,,,,,,
600,,,,,,,
3300,,,,,,,
200,,,,,,,
3300,,,,,,,
5000,,,,,,,
5000,,,,,,,
5000,,,,,,,
5000,,,,,,,
1500,,,,,,,
2000,,,,,,,
2600,,,,,,,
2600,,,,,,,
3300,,,,,,,
600,,,,,,,
2000,,,,,,,
5000,,,,,,,
2600,,,,,,,
2000,,,,,,,
600,,,,,,,
600,,,,,,,
200,,,,,,,
200,,,,,,,
200,,,,,,,
1500,,,,,,,
2600,,,,,,,
600,,,,,,,
600,,,,,,,
1000,,,,,,,
1500,,,,,,,
2000,,,,,,,
2000,,,,,,,
200,,,,,,,
600,,,,,,,
