RF_amplitude,U2,loading_signal,lost_signal,model_Ex,model_Ey,model_Ez,model_mean,obs_Ex,obs_Ey,obs_Ez,obs_value,ratio_lost,ratio_signal,timestamp,trapped_signal
2.5,0.1,6423.0,16.0,0.06055167989176441,0.23747685390102286,0.34687883290185906,2.2045347789581524,-0.07181158581819974,0.04106034881656817,-0.08401973746166341,0.0006209251785159888,0.004218296862641709,0.0006209251785159888,20260220_025420,2.0
2.5,0.1,6861.0,16.0,-0.03003827309977153,-0.1117145136876174,0.2126889383821605,2.0255409093537966,-0.01510016629525096,-0.11334588184094946,0.21824542013996126,0.00034042553191489364,0.004267804747932782,0.00034042553191489364,20260220_025542,2.0
2.5,0.1,6555.0,14.0,0.027707105693676848,0.2083468638851449,0.16684533504803659,2.2871186346997634,-0.29050573745507174,-0.09718776802455231,0.3286952233116789,0.0004731488052992666,0.0026360384108454153,0.0004731488052992666,20260220_025715,2.0
2.5,0.1,6893.0,18.0,-0.28585339130030385,-0.17258606117206507,0.3026599776065857,2.7385210916282015,-0.2641850727574931,-0.15556390907044498,0.2931650686445775,0.0010333247222939809,0.003758221108675227,0.0010333247222939809,20260220_025835,4.0
2.5,0.1,7015.0,12.0,-0.15500618090898194,0.11255910718071799,0.2748564610929549,2.415929073103303,-0.16792462187509102,-0.0436456699279634,0.22713834805146924,0.0004143360265175057,0.0024313153415998056,0.0004143360265175057,20260220_025956,2.0
2.5,0.1,6465.0,16.0,0.05329640449905931,0.143704619801914,-0.015094341323001081,2.3865212033507275,0.08031798273904223,0.16103953328030762,-0.08456417638304886,0.0008274720728175424,0.004362050163576881,0.0008274720728175424,20260220_030131,2.0
2.5,0.1,6545.0,12.0,-0.10454768899592276,0.1066294211070532,0.2623007634987605,2.6252678608651,-0.08920666579962394,0.10524549232678176,0.26771402682435164,0.00033789491468153406,0.004027386226339106,0.00033789491468153406,20260220_030257,2.0
2.5,0.1,6297.0,12.0,-0.3473834003067388,0.11597671081294919,0.24524046939846803,2.3666347233028144,-0.3434270652235327,0.11105001431499983,0.2656952106912277,0.00046565774155995343,0.004411116012351125,0.00046565774155995343,20260220_030418,2.0
2.5,0.1,6459.0,14.0,0.14441544026609127,0.24171911734832802,0.06201801198186116,3.48509324491031,0.1278181367113188,0.2427026248994542,0.07241092383109682,0.0005689900426742532,0.003459352606869286,0.0005689900426742532,20260220_030626,2.0
2.5,0.08,6429.0,14.0,-0.004387109625101637,-0.14410053800021894,0.349611946985362,1.5346252303959895,-0.003705876282690035,-0.16003967366128416,0.35657309050891006,0.00033096144299189144,0.0026681913474366306,0.00033096144299189144,20260220_030804,2.0
2.5,0.08,6537.0,10.0,-0.3435482776681818,-0.025596763594631644,0.27355847961960744,1.5137890102876577,-0.34263561582520324,-0.06844606752101243,0.3015302593304825,0.0005028916268544129,0.0031575623618566467,0.0005028916268544129,20260220_030924,2.0
2.5,0.08,6139.0,14.0,-0.12068144287317623,-0.06890046460382859,-0.09178284374037791,2.65539067899694,-0.15006863454728842,-0.063225450890566,-0.09723148616023863,0.0007176175098672408,0.0030428167789610956,0.0007176175098672408,20260220_031045,2.0
2.5,0.08,6527.0,16.0,-0.11615759443953375,-0.11950605822042784,-0.09226429468551256,1.9535603479635455,-0.06596400226661392,-0.16910288917750144,-0.09689553738803215,0.0008565310492505353,0.005285761480013214,0.0008565310492505353,20260220_031205,4.0
2.5,0.08,6191.0,28.0,0.03819666195655702,0.103839126582561,0.032019224999803364,1.9615915825580792,0.018058735563939055,0.07501367910462603,0.04534976521035425,0.0015155342258145997,0.007072493053801465,0.0015155342258145997,20260220_031434,6.0
2.5,0.08,6483.0,14.0,-0.2586134227459606,-0.20266862675889752,0.0837380479177772,2.3920925461572247,-0.33914356549077984,-0.24023688213003153,0.3880218048701787,0.0007207207207207207,0.004357298474945534,0.0007207207207207207,20260220_031554,2.0
2.5,0.08,6245.0,18.0,-0.010191851007758712,0.18507634889781938,0.07919667902653788,2.951126440054484,-0.06070316134994391,0.16938976062002015,0.04100059387233898,0.0005467468562055768,0.004920721705850191,0.0005467468562055768,20260220_031722,2.0
