U2,obs_Ex,obs_Ex_std,obs_Ey,obs_Ey_std,obs_Ez,obs_Ez_std,obs_value,obs_value_std,model_Ex,model_Ex_std,model_Ey,model_Ey_std,model_Ez,model_Ez_std,model_mean,model_mean_std,loading_signal,loading_signal_std,trapped_signal,trapped_signal_std,lost_signal,lost_signal_std,ratio_signal,ratio_signal_std,ratio_lost,ratio_lost_std
-0.64,-0.08762162901424665,0.027907329543061667,0.029360189848133655,0.009007942644785851,0.09001544460159872,0.08422476072477172,0.03335177617878487,0.03218528816827921,-0.08924666671318832,0.019591517977823374,0.0263796095902923,0.012132979159965232,0.08389495230904434,0.0946957594552658,2.8062626936161497,0.12703502528625463,2535.5,111.69937331963864,50.0,48.187135212627034,20.0,4.898979485566356,0.03335177617878487,0.03218528816827921,0.012014693456204218,0.0026655861434528366
-0.62,-0.11286205578568062,0.052069672562030135,0.019322150248475327,0.029302899895863908,0.1579492637020555,0.11961747154199086,0.03876761452956936,0.03681336195300925,-0.04895381411903071,0.06233481695407835,0.03644575617805582,0.01589734187408762,0.16293792751053487,0.1367592445775554,2.3781949822612782,0.7042116515075065,2505.5714285714284,77.32465351242337,66.85714285714286,59.693092616503364,25.142857142857142,9.062143729802118,0.03876761452956936,0.03681336195300925,0.013839403498630406,0.00303090314427849
-0.6,-0.08010404200461194,0.012130403326236971,0.017572315477783446,0.0339595561649935,0.09624499289433038,0.11926171783581148,0.0778669452492972,0.032442349687370746,-0.07282120079252466,0.010513983723041348,0.01382836438710662,0.040246876158009995,0.09635133275682266,0.12379612109806415,2.457332500850011,0.17330093548470485,2518.5833333333335,162.47946451440836,127.25,50.83490434730845,30.333333333333332,8.825468196582484,0.0778669452492972,0.032442349687370746,0.01732961538712842,0.0035093885867871714
-0.5800000000000001,-0.08237220239304807,0.012108861600846026,0.023007001567847345,0.007946073405989773,0.1304352593270065,0.09009522657375449,0.09422290438015264,0.0322139941512204,-0.07269104836640768,0.010685802916022183,0.018202006015490244,0.011125103548922398,0.1239632751957628,0.09403228778387777,2.6708082053740876,0.43261619594183065,2630.4285714285716,133.38971596990007,157.28571428571428,47.276434134670055,27.714285714285715,3.7688302737922625,0.09422290438015264,0.0322139941512204,0.014910699805455147,0.0019058494353919578
-0.56,-0.08339948908558407,0.01060332626494036,0.026320732417502466,0.00641197900330724,0.08881917095430832,0.09475957776639694,0.11880766287329879,0.01963657709075062,-0.0877658459383863,0.005480867352771325,0.02370067882523594,0.005529837759392728,0.09313771643737587,0.10381811521404949,2.301468372051802,0.23499439654867685,2735.5714285714284,225.42839036748117,196.42857142857142,10.083326305726453,37.714285714285715,5.799366608624126,0.11880766287329879,0.01963657709075062,0.01898458365249661,0.0019758560653866616
-0.54,-0.0867420778611762,0.005069170848668009,0.02843004201169626,0.00517001223346171,0.09784117417626471,0.08808368309757629,0.13554522131355976,0.016100405698489802,-0.08187278163851697,0.006915359862702109,0.023772437342280826,0.006907808405305064,0.0956041137107663,0.09444234426776488,2.2962217576155175,0.1367564491863031,2806.714285714286,150.56248279199502,229.85714285714286,19.945845048377308,36.0,1.5118578920369088,0.13554522131355976,0.016100405698489802,0.018523725885377398,0.003525685014478725
-0.52,-0.0946553322272211,0.0053743147888245,0.023019462891879894,0.0034672634007111634,-0.010699563836637413,0.035824521108320226,0.16848144455607691,0.007083842187656104,-0.09425584414470856,0.007118992777129724,0.021232513970003166,0.005080642241416801,-0.011096035396207812,0.046118676100134405,2.1285993273657398,0.1567234036663181,3029.285714285714,111.70076644539999,231.71428571428572,12.791897946013503,34.857142857142854,4.120630029101703,0.16848144455607691,0.007083842187656104,0.018817320603963048,0.002749741706278545
-0.5,-0.08990321167619762,0.007249621747547199,0.02650891604654006,0.005179008716061089,0.037009517730177285,0.05435030221561584,0.1685758379682817,0.019402306049388137,-0.08693364357537701,0.012218433112352127,0.022458254702911375,0.00893346478166713,0.04495990827985276,0.05067405971845796,1.978752043535908,0.13854353717752435,3015.0,126.35550754009216,273.57142857142856,23.615111039073163,35.42857142857143,3.958973274443148,0.1685758379682817,0.019402306049388137,0.019309505210629786,0.002247595985102341
-0.48,-0.09638674609543783,0.006830049709444253,0.019933888103062656,0.0069241816124256525,0.006396368921509412,0.04992407488669539,0.17924296486874688,0.0025881408847142733,-0.09661135848580311,0.010722530781647874,0.01855533725428648,0.008361435727540546,0.007156330653161874,0.048987124257333,2.0029964059417598,0.07976509290653495,2928.714285714286,155.68623600573255,259.85714285714283,20.51082342450006,34.0,3.2071349029490928,0.17924296486874688,0.0025881408847142733,0.019546132889268326,0.0020894942138814437
-0.4600000000000001,-0.10007257786070643,0.010692287081366915,0.02734777817854959,0.004810365917428058,0.02126660908583571,0.05992250120924109,0.18655255702401988,0.016087540869848916,-0.10310698673235522,0.013882951941251635,0.02920319214751042,0.005505559674131255,0.007485957319204712,0.06319152423906307,2.0170013617079325,0.11703467424278585,2946.1428571428573,247.54995373022538,268.2857142857143,22.556052629041314,29.0,5.879747322073336,0.18655255702401988,0.016087540869848916,0.016348925481379988,0.0018759161601635335
