electrode,timestamp
tl1,20260212_190953
tl2,20260212_191331
tl3,20260212_191709
tl4,20260212_192047
tl5,20260212_192424
tr1,20260212_192802
tr2,20260212_193141
tr3,20260212_193519
tr4,20260212_193857
tr5,20260212_194235
bl1,20260212_194612
bl2,20260212_194950
bl3,20260212_195328
bl4,20260212_195705
bl5,20260212_200042
br1,20260212_200420
br2,20260212_200758
br3,20260212_201136
br4,20260212_201513
br5,20260212_201850
