electrode,timestamp
tl1,20260213_120643
tl2,20260213_121030
tl3,20260213_125205
tl4,20260213_125541
tl5,20260213_125917
tr1,20260213_130253
tr2,20260213_130629
tr3,20260213_131006
tr4,20260213_131342
tr5,20260213_131718
bl1,20260213_132054
bl2,20260213_132430
bl3,20260213_132808
bl4,20260213_133145
bl5,20260213_133522
br1,20260213_133859
br2,20260213_134236
br3,20260213_134613
br4,20260213_134950
br5,20260213_135326
